4,4s,5,6s,ave_bat,ave_bowl,avg_points_last_5,avg_runs_last_5,avg_wickets_last_5,balls_bowled,balls_faced,bbi,catches,centuries,ct,ct fi,ct wk,d/i,date,date_bat,date_bowl,dis,dot_balls,ducks,economy_rate,fifties,fours,hs,inns,inns_bat,inns_bowl,mat,mat_bat,mat_bowl,match_id,md,mdns,no,opposition,overs,player,points,role,run_outs,runs,runs_bat,runs_bowl,runs_conceded,season,sixes,sr,st,strike_rate,stumpings,team,venue,wickets
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,9.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,J Little,44.0,Unknown,0.0,0.0,,,42.0,2023,0.0,,,0.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",1.0
,,,,,,0.0,0.0,0.0,24.0,3.0,,1.0,,,,,,,,,,7.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,MJ Santner,12.0,Unknown,0.0,1.0,,,32.0,2023,0.0,,,33.33333333333333,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,24.0,3.0,,1.0,,,,,,,,,,9.0,,,,1.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,Rashid Khan,85.0,Unknown,0.0,10.0,,,27.0,2023,1.0,,,333.33333333333337,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2.0
,,,,,,0.0,0.0,0.0,18.0,11.0,,0.0,,,,,,,,,,5.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,HH Pandya,15.0,Unknown,0.0,8.0,,,32.0,2023,0.0,,,72.72727272727273,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,6.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,DP Conway,5.0,Unknown,0.0,1.0,,,0.0,2023,0.0,,,16.666666666666664,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,KS Williamson,4.0,Unknown,0.0,0.0,,,0.0,2023,0.0,,,0.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,18.0,,1.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,S Dube,29.0,Unknown,0.0,19.0,,,0.0,2023,1.0,,,105.55555555555556,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,6.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,Yash Dayal,6.0,Unknown,0.0,0.0,,,14.0,2023,0.0,,,0.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,21.0,,1.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,V Shankar,49.0,Unknown,0.0,27.0,,,0.0,2023,1.0,,,128.57142857142858,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,8.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,AS Joseph,62.0,Unknown,0.0,0.0,,,33.0,2023,0.0,,,0.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2.0
,,,,,,0.0,0.0,0.0,25.0,0.0,,0.0,,,,,,,,,,10.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,RS Hangargekar,93.0,Unknown,0.0,0.0,,,36.0,2023,0.0,,,0.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",3.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,8.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,DL Chahar,12.0,Unknown,0.0,0.0,,,33.0,2023,0.0,,,0.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,21.0,0.0,,0.0,,,,,,,,,,4.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,TU Deshpande,27.0,Unknown,0.0,0.0,,,52.0,2023,0.0,,,0.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",1.0
,,,,,,0.0,0.0,0.0,0.0,14.0,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,R Tewatia,29.0,Unknown,0.0,15.0,,,0.0,2023,1.0,,,107.14285714285714,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,25.0,0.0,,0.0,,,,,,,,,,12.0,,,,0.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,Mohammed Shami,74.0,Unknown,0.0,0.0,,,30.0,2023,0.0,,,0.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2.0
,,,,,,0.0,0.0,0.0,0.0,12.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,AT Rayudu,22.0,Unknown,0.0,12.0,,,0.0,2023,1.0,,,100.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,15.0,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,WP Saha,57.0,Unknown,0.0,25.0,,,0.0,2023,2.0,,,166.66666666666669,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,50.0,,1.0,,,,,,,,,,0.0,,,,4.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,RD Gaikwad,184.0,Unknown,0.0,92.0,,,0.0,2023,9.0,,,184.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,24.0,2.0,,0.0,,,,,,,,,,8.0,,,,0.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,RA Jadeja,46.0,Unknown,0.0,1.0,,,29.0,2023,0.0,,,50.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",1.0
,,,,,,0.0,0.0,0.0,0.0,16.0,,0.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,B Sai Sudharsan,40.0,Unknown,0.0,22.0,,,0.0,2023,0.0,,,137.5,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,7.0,,1.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,MS Dhoni,28.0,Unknown,0.0,14.0,,,0.0,2023,1.0,,,200.0,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,16.0,,0.0,,,,,,,,,,0.0,,,,4.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,MM Ali,51.0,Unknown,0.0,23.0,,,0.0,2023,1.0,,,143.75,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,6.0,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-03-31,,,,Gujarat Titans,,BA Stokes,15.0,Unknown,0.0,7.0,,,0.0,2023,0.0,,,116.66666666666667,0.0,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,0.0,36.0,,1.0,,,,,,,,,,0.0,,,,6.0,,,,,,,,2023-03-31,,,,Chennai Super Kings,,Shubman Gill,123.0,Unknown,0.0,63.0,,,0.0,2023,3.0,,,175.0,0.0,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",0.0
,,,,,,0.0,0.0,0.0,6.0,38.0,,1.0,,,,,,,,,,3.0,,,,2.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,KR Mayers,144.0,Unknown,0.0,73.0,,,7.0,2023,7.0,,,192.10526315789474,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,12.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,KL Rahul,16.0,Unknown,0.0,8.0,,,0.0,2023,1.0,,,66.66666666666666,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,18.0,0.0,,0.0,,,,,,,,,,3.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,JD Unadkat,3.0,Unknown,0.0,0.0,,,39.0,2023,0.0,,,0.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,13.0,,1.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,KH Pandya,25.0,Unknown,0.0,15.0,,,0.0,2023,1.0,,,115.38461538461537,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,5.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,Aman Hakim Khan,8.0,Unknown,0.0,4.0,,,0.0,2023,0.0,,,80.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,8.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,Ravi Bishnoi,70.0,Unknown,0.0,0.0,,,31.0,2023,0.0,,,0.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0
,,,,,,0.0,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,MR Marsh,2.0,Unknown,0.0,0.0,,,0.0,2023,0.0,,,0.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,48.0,,1.0,,,,,,,,,,0.0,,,,7.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,DA Warner,96.0,Unknown,0.0,56.0,,,0.0,2023,0.0,,,116.66666666666667,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,18.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,DJ Hooda,21.0,Unknown,0.0,17.0,,,0.0,2023,0.0,,,94.44444444444444,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,24.0,10.0,,0.0,,,,,,,,,,5.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,Kuldeep Yadav,38.0,Unknown,0.0,6.0,,,37.0,2023,0.0,,,60.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1.0
,,,,,,0.0,0.0,0.0,0.0,10.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,MP Stoinis,22.0,Unknown,0.0,12.0,,,0.0,2023,1.0,,,120.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,20.0,,0.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,RR Rossouw,58.0,Unknown,0.0,30.0,,,0.0,2023,1.0,,,150.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,7.0,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,A Badoni,38.0,Unknown,0.0,18.0,,,0.0,2023,2.0,,,257.14285714285717,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,PN Mankad,0.0,Unknown,0.0,0.0,,,0.0,2023,0.0,,,0.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,25.0,0.0,,0.0,,,,,,,,,,17.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,MA Wood,180.0,Unknown,0.0,0.0,,,14.0,2023,0.0,,,0.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",5.0
,,,,,,0.0,0.0,0.0,0.0,8.0,,2.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,SN Khan,12.0,Unknown,0.0,4.0,,,0.0,2023,0.0,,,50.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,24.0,11.0,,1.0,,,,,,,,,,8.0,,,,1.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,AR Patel,73.0,Unknown,0.0,16.0,,,38.0,2023,1.0,,,145.45454545454547,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,12.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,Avesh Khan,66.0,Unknown,0.0,0.0,,,29.0,2023,0.0,,,0.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0
,,,,,,0.0,0.0,0.0,0.0,9.0,,1.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,PP Shaw,24.0,Unknown,0.0,12.0,,,0.0,2023,0.0,,,133.33333333333331,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,3.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,R Powell,5.0,Unknown,0.0,1.0,,,0.0,2023,0.0,,,33.33333333333333,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,0.0,21.0,,1.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,N Pooran,76.0,Unknown,0.0,36.0,,,0.0,2023,3.0,,,171.42857142857142,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,14.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,KK Ahmed,68.0,Unknown,0.0,0.0,,,31.0,2023,0.0,,,0.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0
,,,,,,0.0,0.0,0.0,24.0,4.0,,0.0,,,,,,,,,,8.0,,,,1.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,C Sakariya,66.0,Unknown,0.0,4.0,,,53.0,2023,0.0,,,100.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0
,,,,,,0.0,0.0,0.0,24.0,1.0,,2.0,,,,,,,,,,9.0,,,,0.0,,,,,,,,2023-04-01,,,,Delhi Capitals,,K Gowtham,29.0,Unknown,0.0,6.0,,,23.0,2023,1.0,,,600.0,0.0,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,25.0,3.0,,0.0,,,,,,,,,,7.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,SN Thakur,23.0,Unknown,0.0,8.0,,,43.0,2023,1.0,,,266.66666666666663,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,11.0,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,JM Sharma,47.0,Unknown,0.0,21.0,,,0.0,2023,2.0,,,190.9090909090909,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,24.0,1.0,,0.0,,,,,,,,,,5.0,,,,0.0,,,,,,,,2023-04-01,,,,Lucknow Super Giants,,Mukesh Kumar,9.0,Unknown,0.0,0.0,,,34.0,2023,0.0,,,0.0,0.0,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
,,,,,,0.0,0.0,0.0,12.0,0.0,,2.0,,,,,,,,,,5.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,RD Chahar,36.0,Unknown,0.0,0.0,,,12.0,2023,0.0,,,0.0,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,0.0,32.0,,0.0,,,,,,,,,,0.0,,,,5.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,PBB Rajapaksa,98.0,Unknown,0.0,50.0,,,0.0,2023,2.0,,,156.25,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,12.0,,0.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,P Simran Singh,53.0,Unknown,0.0,23.0,,,0.0,2023,2.0,,,191.66666666666669,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,6.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,R Dhawan,6.0,Unknown,0.0,0.0,,,15.0,2023,0.0,,,0.0,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,24.0,2.0,,0.0,,,,,,,,,,8.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,SP Narine,50.0,Unknown,0.0,7.0,,,40.0,2023,1.0,,,350.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,18.0,17.0,,1.0,,,,,,,,,,4.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,SM Curran,73.0,Unknown,0.0,26.0,,,38.0,2023,2.0,,,152.94117647058823,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,6.0,0.0,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,Harpreet Brar,6.0,Unknown,0.0,0.0,,,8.0,2023,0.0,,,0.0,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,28.0,,0.0,,,,,,,,,,0.0,,,,6.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,S Dhawan,74.0,Unknown,0.0,40.0,,,0.0,2023,0.0,,,142.85714285714286,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,4.0,,1.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,RK Singh,8.0,Unknown,0.0,4.0,,,0.0,2023,0.0,,,100.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,16.0,,1.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-04-01,,,,Punjab Kings,,Rahmanullah Gurbaz,46.0,Unknown,0.0,22.0,,,0.0,2023,1.0,,,137.5,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,18.0,,0.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-04-01,,,,Punjab Kings,,AD Russell,73.0,Unknown,0.0,35.0,,,0.0,2023,2.0,,,194.44444444444443,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,5.0,,0.0,,,,,,,,,,0.0,,,,1.0,,,,,,,,2023-04-01,,,,Punjab Kings,,AS Roy,12.0,Unknown,0.0,4.0,,,0.0,2023,0.0,,,80.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,9.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,CV Varun,48.0,Unknown,0.0,0.0,,,27.0,2023,0.0,,,0.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,0.0,4.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,Mandeep Singh,6.0,Unknown,0.0,2.0,,,0.0,2023,0.0,,,50.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,1.0,,,,,,,,,,11.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,UT Yadav,42.0,Unknown,0.0,0.0,,,27.0,2023,0.0,,,0.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,18.0,13.0,,3.0,,,,,,,,,,4.0,,,,1.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,Sikandar Raza,63.0,Unknown,0.0,16.0,,,26.0,2023,1.0,,,123.07692307692308,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,20.0,0.0,,0.0,,,,,,,,,,7.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,NT Ellis,44.0,Unknown,0.0,0.0,,,28.0,2023,0.0,,,0.0,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1.0
,,,,,,0.0,0.0,0.0,18.0,0.0,,0.0,,,,,,,,,,10.0,,,,0.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,Arshdeep Singh,95.0,Unknown,0.0,0.0,,,19.0,2023,0.0,,,0.0,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3.0
,,,,,,0.0,0.0,0.0,0.0,7.0,,0.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-04-01,,,,Kolkata Knight Riders,,M Shahrukh Khan,23.0,Unknown,0.0,11.0,,,0.0,2023,0.0,,,157.14285714285714,0.0,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,27.0,,0.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-04-01,,,,Punjab Kings,,VR Iyer,60.0,Unknown,0.0,34.0,,,0.0,2023,1.0,,,125.92592592592592,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,0.0,17.0,,1.0,,,,,,,,,,0.0,,,,3.0,,,,,,,,2023-04-01,,,,Punjab Kings,,N Rana,48.0,Unknown,0.0,24.0,,,0.0,2023,1.0,,,141.1764705882353,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,7.0,,,,0.0,,,,,,,,2023-04-01,,,,Punjab Kings,,TG Southee,55.0,Unknown,0.0,0.0,,,54.0,2023,0.0,,,0.0,0.0,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2.0
,,,,,,0.0,0.0,0.0,0.0,13.0,,0.0,,,,,,,,,,0.0,,,,2.0,,,,,,,,2023-04-02,,,,Royal Challengers Bangalore,,Ishan Kishan,22.0,Unknown,0.0,10.0,,,0.0,2023,0.0,,,76.92307692307693,0.0,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru",0.0
,,,,,,0.0,0.0,0.0,6.0,3.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2023-04-02,,,,Mumbai Indians,,GJ Maxwell,28.0,Unknown,0.0,12.0,,,16.0,2023,2.0,,,400.0,0.0,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",0.0
,,,,,,0.0,0.0,0.0,24.0,0.0,,0.0,,,,,,,,,,7.0,,,,0.0,,,,,,,,2023-04-02,,,,Mumbai Indians,,KV Sharma,69.0,Unknown,0.0,0.0,,,32.0,2023,0.0,,,0.0,0.0,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2.0
,,,,,,0.0,0.0,0.0,12.0,0.0,,0.0,,,,,,,,,,6.0,,,,0.0,,,,,,,,2023-04-02,,,,Mumbai Indians,,MG Bracewell,35.0,Unknown,0.0,0.0,,,16.0,2023,0.0,,,0.0,0.0,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",1.0
,,,,,,0.0,0.0,0.0,18.0,0.0,,0.0,,,,,,,,,,6.0,,,,0.0,,,,,,,,2023-04-02,,,,Royal Challengers Bangalore,,JP Behrendorff,4.0,Unknown,0.0,0.0,,,37.0,2023,0.0,,,0.0,0.0,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru",0.0
